Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Jornada a tiempo completo;04 Balears, Illes;2;2022;1.156,66
Jornada a tiempo completo;04 Balears, Illes;2;2021;1.055,24
Jornada a tiempo completo;04 Balears, Illes;3;2022;1.334,41
Jornada a tiempo completo;04 Balears, Illes;3;2021;1.278,02
Jornada a tiempo completo;04 Balears, Illes;4;2022;1.527,58
Jornada a tiempo completo;04 Balears, Illes;4;2021;1.454,43
Jornada a tiempo completo;04 Balears, Illes;5;2022;1.724,58
Jornada a tiempo completo;04 Balears, Illes;5;2021;1.662,22
Jornada a tiempo completo;04 Balears, Illes;6;2022;1.923,41
Jornada a tiempo completo;04 Balears, Illes;6;2021;1.880,63
Jornada a tiempo completo;04 Balears, Illes;7;2022;2.192,64
Jornada a tiempo completo;04 Balears, Illes;7;2021;2.169,31
Jornada a tiempo completo;04 Balears, Illes;8;2022;2.574,81
Jornada a tiempo completo;04 Balears, Illes;8;2021;2.565,67
Jornada a tiempo completo;04 Balears, Illes;9;2022;3.208,06
Jornada a tiempo completo;04 Balears, Illes;9;2021;3.188,51
Jornada a tiempo completo;04 Balears, Illes;10;2022;5.370,69
Jornada a tiempo completo;04 Balears, Illes;10;2021;5.140,70
Jornada a tiempo completo;05 Canarias;Total decil;2022;2.036,31
Jornada a tiempo completo;05 Canarias;Total decil;2021;2.144,14
Jornada a tiempo completo;05 Canarias;1;2022;871,61
Jornada a tiempo completo;05 Canarias;1;2021;773,82
Jornada a tiempo completo;05 Canarias;2;2022;1.151,46
Jornada a tiempo completo;05 Canarias;2;2021;1.087,98
Jornada a tiempo completo;05 Canarias;3;2022;1.345,54
Jornada a tiempo completo;05 Canarias;3;2021;1.264,98
Jornada a tiempo completo;05 Canarias;4;2022;1.537,67
Jornada a tiempo completo;05 Canarias;4;2021;1.462,48
Jornada a tiempo completo;05 Canarias;5;2022;1.722,97
Jornada a tiempo completo;05 Canarias;5;2021;1.646,89
Jornada a tiempo completo;05 Canarias;6;2022;1.912,25
Jornada a tiempo completo;05 Canarias;6;2021;1.902,06
Jornada a tiempo completo;05 Canarias;7;2022;2.190,81
Jornada a tiempo completo;05 Canarias;7;2021;2.182,73
Jornada a tiempo completo;05 Canarias;8;2022;2.570,01
Jornada a tiempo completo;05 Canarias;8;2021;2.574,42
Jornada a tiempo completo;05 Canarias;9;2022;3.210,26
Jornada a tiempo completo;05 Canarias;9;2021;3.172,53
Jornada a tiempo completo;05 Canarias;10;2022;4.972,79
Jornada a tiempo completo;05 Canarias;10;2021;5.148,53
Jornada a tiempo completo;06 Cantabria;Total decil;2022;2.313,11
Jornada a tiempo completo;06 Cantabria;Total decil;2021;2.265,63
Jornada a tiempo completo;06 Cantabria;1;2022;862,99
Jornada a tiempo completo;06 Cantabria;1;2021;783,27
Jornada a tiempo completo;06 Cantabria;2;2022;1.165,48
Jornada a tiempo completo;06 Cantabria;2;2021;1.059,43
Jornada a tiempo completo;06 Cantabria;3;2022;1.346,45
Jornada a tiempo completo;06 Cantabria;3;2021;1.264,13
Jornada a tiempo completo;06 Cantabria;4;2022;1.521,22
Jornada a tiempo completo;06 Cantabria;4;2021;1.456,93
Jornada a tiempo completo;06 Cantabria;5;2022;1.722,53
Jornada a tiempo completo;06 Cantabria;5;2021;1.655,36
Jornada a tiempo completo;06 Cantabria;6;2022;1.933,70
Jornada a tiempo completo;06 Cantabria;6;2021;1.867,26
Jornada a tiempo completo;06 Cantabria;7;2022;2.211,01
Jornada a tiempo completo;06 Cantabria;7;2021;2.174,87
Jornada a tiempo completo;06 Cantabria;8;2022;2.626,19
Jornada a tiempo completo;06 Cantabria;8;2021;2.586,01
Jornada a tiempo completo;06 Cantabria;9;2022;3.173,74
Jornada a tiempo completo;06 Cantabria;9;2021;3.177,99
Jornada a tiempo completo;06 Cantabria;10;2022;4.908,11
Jornada a tiempo completo;06 Cantabria;10;2021;4.795,68
Jornada a tiempo completo;07 Castilla y León;Total decil;2022;2.303,18
Jornada a tiempo completo;07 Castilla y León;Total decil;2021;2.181,05
Jornada a tiempo completo;07 Castilla y León;1;2022;870,65
Jornada a tiempo completo;07 Castilla y León;1;2021;795,41
Jornada a tiempo completo;07 Castilla y León;2;2022;1.161,26
Jornada a tiempo completo;07 Castilla y León;2;2021;1.058,08
Jornada a tiempo completo;07 Castilla y León;3;2022;1.347,67
Jornada a tiempo completo;07 Castilla y León;3;2021;1.261,90
Jornada a tiempo completo;07 Castilla y León;4;2022;1.529,80
Jornada a tiempo completo;07 Castilla y León;4;2021;1.465,34
Jornada a tiempo completo;07 Castilla y León;5;2022;1.710,76
Jornada a tiempo completo;07 Castilla y León;5;2021;1.653,57
Jornada a tiempo completo;07 Castilla y León;6;2022;1.928,11
Jornada a tiempo completo;07 Castilla y León;6;2021;1.869,81
Jornada a tiempo completo;07 Castilla y León;7;2022;2.189,80
Jornada a tiempo completo;07 Castilla y León;7;2021;2.159,01
Jornada a tiempo completo;07 Castilla y León;8;2022;2.606,13
Jornada a tiempo completo;07 Castilla y León;8;2021;2.559,68
Jornada a tiempo completo;07 Castilla y León;9;2022;3.199,58
Jornada a tiempo completo;07 Castilla y León;9;2021;3.143,51
Jornada a tiempo completo;07 Castilla y León;10;2022;4.903,25
Jornada a tiempo completo;07 Castilla y León;10;2021;4.985,23
Jornada a tiempo completo;08 Castilla - La Mancha;Total decil;2022;2.128,43
Jornada a tiempo completo;08 Castilla - La Mancha;Total decil;2021;2.113,54
Jornada a tiempo completo;08 Castilla - La Mancha;1;2022;883,43
Jornada a tiempo completo;08 Castilla - La Mancha;1;2021;781,44
Jornada a tiempo completo;08 Castilla - La Mancha;2;2022;1.164,83
Jornada a tiempo completo;08 Castilla - La Mancha;2;2021;1.070,18
Jornada a tiempo completo;08 Castilla - La Mancha;3;2022;1.351,51
Jornada a tiempo completo;08 Castilla - La Mancha;3;2021;1.271,74
Jornada a tiempo completo;08 Castilla - La Mancha;4;2022;1.536,17
Jornada a tiempo completo;08 Castilla - La Mancha;4;2021;1.462,69
Jornada a tiempo completo;08 Castilla - La Mancha;5;2022;1.709,99
Jornada a tiempo completo;08 Castilla - La Mancha;5;2021;1.646,62
Jornada a tiempo completo;08 Castilla - La Mancha;6;2022;1.923,23
Jornada a tiempo completo;08 Castilla - La Mancha;6;2021;1.870,23
Jornada a tiempo completo;08 Castilla - La Mancha;7;2022;2.199,69
Jornada a tiempo completo;08 Castilla - La Mancha;7;2021;2.153,50
Jornada a tiempo completo;08 Castilla - La Mancha;8;2022;2.596,12
Jornada a tiempo completo;08 Castilla - La Mancha;8;2021;2.567,34
Jornada a tiempo completo;08 Castilla - La Mancha;9;2022;3.191,53
Jornada a tiempo completo;08 Castilla - La Mancha;9;2021;3.183,20
Jornada a tiempo completo;08 Castilla - La Mancha;10;2022;4.966,92
Jornada a tiempo completo;08 Castilla - La Mancha;10;2021;4.685,26
Jornada a tiempo completo;09 Cataluña;Total decil;2022;2.492,82
Jornada a tiempo completo;09 Cataluña;Total decil;2021;2.462,41
Jornada a tiempo completo;09 Cataluña;1;2022;888,36
Jornada a tiempo completo;09 Cataluña;1;2021;773,28
Jornada a tiempo completo;09 Cataluña;2;2022;1.159,02
Jornada a tiempo completo;09 Cataluña;2;2021;1.061,82
Jornada a tiempo completo;09 Cataluña;3;2022;1.352,56
Jornada a tiempo completo;09 Cataluña;3;2021;1.266,44
Jornada a tiempo completo;09 Cataluña;4;2022;1.530,97
Jornada a tiempo completo;09 Cataluña;4;2021;1.468,06
Jornada a tiempo completo;09 Cataluña;5;2022;1.720,73
Jornada a tiempo completo;09 Cataluña;5;2021;1.658,64
Jornada a tiempo completo;09 Cataluña;6;2022;1.929,80
Jornada a tiempo completo;09 Cataluña;6;2021;1.877,93
Jornada a tiempo completo;09 Cataluña;7;2022;2.197,32
Jornada a tiempo completo;09 Cataluña;7;2021;2.162,25
Jornada a tiempo completo;09 Cataluña;8;2022;2.595,24
Jornada a tiempo completo;09 Cataluña;8;2021;2.582,64
Jornada a tiempo completo;09 Cataluña;9;2022;3.192,99
Jornada a tiempo completo;09 Cataluña;9;2021;3.165,89
Jornada a tiempo completo;09 Cataluña;10;2022;4.950,02
Jornada a tiempo completo;09 Cataluña;10;2021;5.160,05
Jornada a tiempo completo;10 Comunitat Valenciana;Total decil;2022;2.166,56
Jornada a tiempo completo;10 Comunitat Valenciana;Total decil;2021;2.210,09
Jornada a tiempo completo;10 Comunitat Valenciana;1;2022;871,05
Jornada a tiempo completo;10 Comunitat Valenciana;1;2021;796,20
Jornada a tiempo completo;10 Comunitat Valenciana;2;2022;1.150,06
Jornada a tiempo completo;10 Comunitat Valenciana;2;2021;1.069,78
Jornada a tiempo completo;10 Comunitat Valenciana;3;2022;1.343,73
Jornada a tiempo completo;10 Comunitat Valenciana;3;2021;1.269,47
Jornada a tiempo completo;10 Comunitat Valenciana;4;2022;1.528,00
Jornada a tiempo completo;10 Comunitat Valenciana;4;2021;1.463,10
Jornada a tiempo completo;10 Comunitat Valenciana;5;2022;1.715,17
Jornada a tiempo completo;10 Comunitat Valenciana;5;2021;1.661,12
Jornada a tiempo completo;10 Comunitat Valenciana;6;2022;1.926,03
Jornada a tiempo completo;10 Comunitat Valenciana;6;2021;1.875,11
Jornada a tiempo completo;10 Comunitat Valenciana;7;2022;2.193,56
Jornada a tiempo completo;10 Comunitat Valenciana;7;2021;2.163,50
Jornada a tiempo completo;10 Comunitat Valenciana;8;2022;2.625,02
Jornada a tiempo completo;10 Comunitat Valenciana;8;2021;2.581,26
Jornada a tiempo completo;10 Comunitat Valenciana;9;2022;3.157,76
Jornada a tiempo completo;10 Comunitat Valenciana;9;2021;3.142,28
Jornada a tiempo completo;10 Comunitat Valenciana;10;2022;4.978,67
Jornada a tiempo completo;10 Comunitat Valenciana;10;2021;5.219,48
Jornada a tiempo completo;11 Extremadura;Total decil;2022;2.056,59
Jornada a tiempo completo;11 Extremadura;Total decil;2021;1.821,29
Jornada a tiempo completo;11 Extremadura;1;2022;876,31
Jornada a tiempo completo;11 Extremadura;1;2021;802,49
Jornada a tiempo completo;11 Extremadura;2;2022;1.165,16
Jornada a tiempo completo;11 Extremadura;2;2021;1.067,46
Jornada a tiempo completo;11 Extremadura;3;2022;1.335,38
Jornada a tiempo completo;11 Extremadura;3;2021;1.256,83
Jornada a tiempo completo;11 Extremadura;4;2022;1.539,01
Jornada a tiempo completo;11 Extremadura;4;2021;1.466,28
Jornada a tiempo completo;11 Extremadura;5;2022;1.706,60
Jornada a tiempo completo;11 Extremadura;5;2021;1.660,17
Jornada a tiempo completo;11 Extremadura;6;2022;1.915,23
Jornada a tiempo completo;11 Extremadura;6;2021;1.862,99
Jornada a tiempo completo;11 Extremadura;7;2022;2.184,77
Jornada a tiempo completo;11 Extremadura;7;2021;2.183,57
Jornada a tiempo completo;11 Extremadura;8;2022;2.625,26
Jornada a tiempo completo;11 Extremadura;8;2021;2.572,15
Jornada a tiempo completo;11 Extremadura;9;2022;3.172,04
Jornada a tiempo completo;11 Extremadura;9;2021;3.102,39
Jornada a tiempo completo;11 Extremadura;10;2022;5.109,37
Jornada a tiempo completo;11 Extremadura;10;2021;4.747,74
Jornada a tiempo completo;12 Galicia;Total decil;2022;2.253,74
Jornada a tiempo completo;12 Galicia;Total decil;2021;2.197,67
Jornada a tiempo completo;12 Galicia;1;2022;870,63
Jornada a tiempo completo;12 Galicia;1;2021;789,74
Jornada a tiempo completo;12 Galicia;2;2022;1.174,24
Jornada a tiempo completo;12 Galicia;2;2021;1.068,98
Jornada a tiempo completo;12 Galicia;3;2022;1.345,74
Jornada a tiempo completo;12 Galicia;3;2021;1.267,16
Jornada a tiempo completo;12 Galicia;4;2022;1.528,88
Jornada a tiempo completo;12 Galicia;4;2021;1.460,99
Jornada a tiempo completo;12 Galicia;5;2022;1.710,37
Jornada a tiempo completo;12 Galicia;5;2021;1.651,22
Jornada a tiempo completo;12 Galicia;6;2022;1.928,98
Jornada a tiempo completo;12 Galicia;6;2021;1.874,36
Jornada a tiempo completo;12 Galicia;7;2022;2.205,01
Jornada a tiempo completo;12 Galicia;7;2021;2.166,02
Jornada a tiempo completo;12 Galicia;8;2022;2.608,21
Jornada a tiempo completo;12 Galicia;8;2021;2.582,40
Jornada a tiempo completo;12 Galicia;9;2022;3.185,26
Jornada a tiempo completo;12 Galicia;9;2021;3.161,98
Jornada a tiempo completo;12 Galicia;10;2022;5.003,02
Jornada a tiempo completo;12 Galicia;10;2021;5.042,28
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2022;2.625,18
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2021;2.603,91
Jornada a tiempo completo;13 Madrid, Comunidad de;1;2022;882,91
Jornada a tiempo completo;13 Madrid, Comunidad de;1;2021;808,86
Jornada a tiempo completo;13 Madrid, Comunidad de;2;2022;1.173,90
Jornada a tiempo completo;13 Madrid, Comunidad de;2;2021;1.056,73
Jornada a tiempo completo;13 Madrid, Comunidad de;3;2022;1.344,19
Jornada a tiempo completo;13 Madrid, Comunidad de;3;2021;1.266,49
Jornada a tiempo completo;13 Madrid, Comunidad de;4;2022;1.526,87
Jornada a tiempo completo;13 Madrid, Comunidad de;4;2021;1.462,79
Jornada a tiempo completo;13 Madrid, Comunidad de;5;2022;1.717,54
Jornada a tiempo completo;13 Madrid, Comunidad de;5;2021;1.656,32
Jornada a tiempo completo;13 Madrid, Comunidad de;6;2022;1.921,56
Jornada a tiempo completo;13 Madrid, Comunidad de;6;2021;1.875,23
Jornada a tiempo completo;13 Madrid, Comunidad de;7;2022;2.196,21
Jornada a tiempo completo;13 Madrid, Comunidad de;7;2021;2.168,48
Jornada a tiempo completo;13 Madrid, Comunidad de;8;2022;2.600,56
Jornada a tiempo completo;13 Madrid, Comunidad de;8;2021;2.572,44
Jornada a tiempo completo;13 Madrid, Comunidad de;9;2022;3.189,34
Jornada a tiempo completo;13 Madrid, Comunidad de;9;2021;3.161,87
Jornada a tiempo completo;13 Madrid, Comunidad de;10;2022;5.206,19
Jornada a tiempo completo;13 Madrid, Comunidad de;10;2021;5.220,33
Jornada a tiempo completo;14 Murcia, Región de;Total decil;2022;2.061,02
Jornada a tiempo completo;14 Murcia, Región de;Total decil;2021;2.058,92
Jornada a tiempo completo;14 Murcia, Región de;1;2022;908,30
Jornada a tiempo completo;14 Murcia, Región de;1;2021;799,79
Jornada a tiempo completo;14 Murcia, Región de;2;2022;1.169,98
Jornada a tiempo completo;14 Murcia, Región de;2;2021;1.071,30
Jornada a tiempo completo;14 Murcia, Región de;3;2022;1.348,57
Jornada a tiempo completo;14 Murcia, Región de;3;2021;1.261,32
Jornada a tiempo completo;14 Murcia, Región de;4;2022;1.538,11
Jornada a tiempo completo;14 Murcia, Región de;4;2021;1.464,42
Jornada a tiempo completo;14 Murcia, Región de;5;2022;1.714,24
Jornada a tiempo completo;14 Murcia, Región de;5;2021;1.666,31
Jornada a tiempo completo;14 Murcia, Región de;6;2022;1.919,89
Jornada a tiempo completo;14 Murcia, Región de;6;2021;1.867,64
Jornada a tiempo completo;14 Murcia, Región de;7;2022;2.196,34
Jornada a tiempo completo;14 Murcia, Región de;7;2021;2.178,52
Jornada a tiempo completo;14 Murcia, Región de;8;2022;2.612,54
Jornada a tiempo completo;14 Murcia, Región de;8;2021;2.573,44
Jornada a tiempo completo;14 Murcia, Región de;9;2022;3.172,21
Jornada a tiempo completo;14 Murcia, Región de;9;2021;3.148,66
Jornada a tiempo completo;14 Murcia, Región de;10;2022;4.900,80
Jornada a tiempo completo;14 Murcia, Región de;10;2021;4.998,23
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;Total decil;2022;2.565,72
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;Total decil;2021;2.478,97
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;1;2022;854,64
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;1;2021;767,14
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;2;2022;1.118,42
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;2;2021;1.050,92
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;3;2022;1.354,68
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;3;2021;1.267,79
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;4;2022;1.526,31
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;4;2021;1.462,57
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;5;2022;1.736,35
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;5;2021;1.667,04
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;6;2022;1.915,87
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;6;2021;1.880,32
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;7;2022;2.222,02
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;7;2021;2.167,03
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;8;2022;2.599,79
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;8;2021;2.567,28
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;9;2022;3.202,92
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;9;2021;3.146,36
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;10;2022;4.701,68
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;10;2021;4.994,58
Jornada a tiempo completo;16 País Vasco;Total decil;2022;2.837,42
Jornada a tiempo completo;16 País Vasco;Total decil;2021;2.743,69
Jornada a tiempo completo;16 País Vasco;1;2022;870,37
Jornada a tiempo completo;16 País Vasco;1;2021;800,32
Jornada a tiempo completo;16 País Vasco;2;2022;1.136,13
Jornada a tiempo completo;16 País Vasco;2;2021;1.076,90
Jornada a tiempo completo;16 País Vasco;3;2022;1.332,47
Jornada a tiempo completo;16 País Vasco;3;2021;1.282,63
Jornada a tiempo completo;16 País Vasco;4;2022;1.526,04
Jornada a tiempo completo;16 País Vasco;4;2021;1.464,78
Jornada a tiempo completo;16 País Vasco;5;2022;1.724,77
Jornada a tiempo completo;16 País Vasco;5;2021;1.653,19
Jornada a tiempo completo;16 País Vasco;6;2022;1.932,06
Jornada a tiempo completo;16 País Vasco;6;2021;1.883,56
Jornada a tiempo completo;16 País Vasco;7;2022;2.193,43
Jornada a tiempo completo;16 País Vasco;7;2021;2.152,08
Jornada a tiempo completo;16 País Vasco;8;2022;2.591,53
Jornada a tiempo completo;16 País Vasco;8;2021;2.582,45
Jornada a tiempo completo;16 País Vasco;9;2022;3.244,13
Jornada a tiempo completo;16 País Vasco;9;2021;3.205,31
Jornada a tiempo completo;16 País Vasco;10;2022;4.981,75
Jornada a tiempo completo;16 País Vasco;10;2021;4.973,70
Jornada a tiempo completo;17 Rioja, La;Total decil;2022;2.267,85
Jornada a tiempo completo;17 Rioja, La;Total decil;2021;2.138,01
Jornada a tiempo completo;17 Rioja, La;1;2022;891,96
Jornada a tiempo completo;17 Rioja, La;1;2021;782,98
Jornada a tiempo completo;17 Rioja, La;2;2022;1.164,89
Jornada a tiempo completo;17 Rioja, La;2;2021;1.049,21
Jornada a tiempo completo;17 Rioja, La;3;2022;1.351,25
Jornada a tiempo completo;17 Rioja, La;3;2021;1.263,67
Jornada a tiempo completo;17 Rioja, La;4;2022;1.528,03
Jornada a tiempo completo;17 Rioja, La;4;2021;1.472,21
Jornada a tiempo completo;17 Rioja, La;5;2022;1.716,13
Jornada a tiempo completo;17 Rioja, La;5;2021;1.660,83
Jornada a tiempo completo;17 Rioja, La;6;2022;1.921,97
Jornada a tiempo completo;17 Rioja, La;6;2021;1.877,61
Jornada a tiempo completo;17 Rioja, La;7;2022;2.197,94
Jornada a tiempo completo;17 Rioja, La;7;2021;2.152,73
Jornada a tiempo completo;17 Rioja, La;8;2022;2.601,91
Jornada a tiempo completo;17 Rioja, La;8;2021;2.571,62
Jornada a tiempo completo;17 Rioja, La;9;2022;3.224,06
Jornada a tiempo completo;17 Rioja, La;9;2021;3.180,21
Jornada a tiempo completo;17 Rioja, La;10;2022;5.035,10
Jornada a tiempo completo;17 Rioja, La;10;2021;4.641,79
Jornada a tiempo completo;18 Ceuta;Total decil;2022;2.324,98
Jornada a tiempo completo;18 Ceuta;Total decil;2021;2.468,84
Jornada a tiempo completo;18 Ceuta;1;2022;901,01
Jornada a tiempo completo;18 Ceuta;1;2021;819,52
Jornada a tiempo completo;18 Ceuta;2;2022;1.169,62
Jornada a tiempo completo;18 Ceuta;2;2021;1.013,32
Jornada a tiempo completo;18 Ceuta;3;2022;1.355,39
Jornada a tiempo completo;18 Ceuta;3;2021;1.279,02
Jornada a tiempo completo;18 Ceuta;4;2022;1.525,51
Jornada a tiempo completo;18 Ceuta;4;2021;1.436,10
Jornada a tiempo completo;18 Ceuta;5;2022;1.722,56
Jornada a tiempo completo;18 Ceuta;5;2021;1.618,17
Jornada a tiempo completo;18 Ceuta;6;2022;1.925,85
Jornada a tiempo completo;18 Ceuta;6;2021;1.854,64
Jornada a tiempo completo;18 Ceuta;7;2022;2.244,16
Jornada a tiempo completo;18 Ceuta;7;2021;2.152,00
Jornada a tiempo completo;18 Ceuta;8;2022;2.639,02
Jornada a tiempo completo;18 Ceuta;8;2021;2.606,51
Jornada a tiempo completo;18 Ceuta;9;2022;3.225,10
Jornada a tiempo completo;18 Ceuta;9;2021;3.092,98
Jornada a tiempo completo;18 Ceuta;10;2022;4.283,85
Jornada a tiempo completo;18 Ceuta;10;2021;6.237,26
Jornada a tiempo completo;19 Melilla;Total decil;2022;2.493,01
Jornada a tiempo completo;19 Melilla;Total decil;2021;2.332,33
Jornada a tiempo completo;19 Melilla;1;2022;943,81
Jornada a tiempo completo;19 Melilla;1;2021;..
Jornada a tiempo completo;19 Melilla;2;2022;1.136,50
Jornada a tiempo completo;19 Melilla;2;2021;1.056,91
Jornada a tiempo completo;19 Melilla;3;2022;1.330,94
Jornada a tiempo completo;19 Melilla;3;2021;1.254,12
Jornada a tiempo completo;19 Melilla;4;2022;1.521,72
Jornada a tiempo completo;19 Melilla;4;2021;1.434,58
Jornada a tiempo completo;19 Melilla;5;2022;1.719,62
Jornada a tiempo completo;19 Melilla;5;2021;1.652,63
Jornada a tiempo completo;19 Melilla;6;2022;1.946,45
Jornada a tiempo completo;19 Melilla;6;2021;1.855,79
Jornada a tiempo completo;19 Melilla;7;2022;2.157,68
Jornada a tiempo completo;19 Melilla;7;2021;2.209,50
Jornada a tiempo completo;19 Melilla;8;2022;2.622,89
Jornada a tiempo completo;19 Melilla;8;2021;2.647,28
Jornada a tiempo completo;19 Melilla;9;2022;3.245,68
Jornada a tiempo completo;19 Melilla;9;2021;3.205,21
Jornada a tiempo completo;19 Melilla;10;2022;4.360,43
Jornada a tiempo completo;19 Melilla;10;2021;4.336,23
Jornada a tiempo parcial;Total Nacional;Total decil;2022;892,49
Jornada a tiempo parcial;Total Nacional;Total decil;2021;830,37
Jornada a tiempo parcial;Total Nacional;1;2022;603,02
Jornada a tiempo parcial;Total Nacional;1;2021;550,64
Jornada a tiempo parcial;Total Nacional;2;2022;1.082,81
Jornada a tiempo parcial;Total Nacional;2;2021;997,83
Jornada a tiempo parcial;Total Nacional;3;2022;1.343,45
Jornada a tiempo parcial;Total Nacional;3;2021;1.266,38
Jornada a tiempo parcial;Total Nacional;4;2022;1.517,22
Jornada a tiempo parcial;Total Nacional;4;2021;1.450,04
Jornada a tiempo parcial;Total Nacional;5;2022;1.722,99
Jornada a tiempo parcial;Total Nacional;5;2021;1.651,27
Jornada a tiempo parcial;Total Nacional;6;2022;1.904,90
Jornada a tiempo parcial;Total Nacional;6;2021;1.859,65
Jornada a tiempo parcial;Total Nacional;7;2022;2.170,80
Jornada a tiempo parcial;Total Nacional;7;2021;2.112,56
Jornada a tiempo parcial;Total Nacional;8;2022;2.541,01
Jornada a tiempo parcial;Total Nacional;8;2021;2.545,53
Jornada a tiempo parcial;Total Nacional;9;2022;3.094,16
Jornada a tiempo parcial;Total Nacional;9;2021;2.895,84
Jornada a tiempo parcial;Total Nacional;10;2022;4.104,90
Jornada a tiempo parcial;Total Nacional;10;2021;..
Jornada a tiempo parcial;01 Andalucía;Total decil;2022;777,16
Jornada a tiempo parcial;01 Andalucía;Total decil;2021;759,17
Jornada a tiempo parcial;01 Andalucía;1;2022;590,32
Jornada a tiempo parcial;01 Andalucía;1;2021;540,23
Jornada a tiempo parcial;01 Andalucía;2;2022;1.091,39
Jornada a tiempo parcial;01 Andalucía;2;2021;990,70
Jornada a tiempo parcial;01 Andalucía;3;2022;1.338,02
Jornada a tiempo parcial;01 Andalucía;3;2021;1.266,82
Jornada a tiempo parcial;01 Andalucía;4;2022;1.516,82
Jornada a tiempo parcial;01 Andalucía;4;2021;1.456,35
Jornada a tiempo parcial;01 Andalucía;5;2022;1.772,62
Jornada a tiempo parcial;01 Andalucía;5;2021;1.665,15
Jornada a tiempo parcial;01 Andalucía;6;2022;1.861,57
Jornada a tiempo parcial;01 Andalucía;6;2021;1.896,26
Jornada a tiempo parcial;01 Andalucía;7;2022;2.240,46
Jornada a tiempo parcial;01 Andalucía;7;2021;2.085,06
Jornada a tiempo parcial;01 Andalucía;8;2022;2.584,30
