Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Jornada a tiempo parcial;01 Andalucía;8;2021;2.562,91
Jornada a tiempo parcial;01 Andalucía;9;2022;3.263,09
Jornada a tiempo parcial;01 Andalucía;9;2021;2.881,14
Jornada a tiempo parcial;01 Andalucía;10;2022;..
Jornada a tiempo parcial;01 Andalucía;10;2021;..
Jornada a tiempo parcial;02 Aragón;Total decil;2022;886,44
Jornada a tiempo parcial;02 Aragón;Total decil;2021;877,01
Jornada a tiempo parcial;02 Aragón;1;2022;580,40
Jornada a tiempo parcial;02 Aragón;1;2021;568,12
Jornada a tiempo parcial;02 Aragón;2;2022;1.093,06
Jornada a tiempo parcial;02 Aragón;2;2021;997,72
Jornada a tiempo parcial;02 Aragón;3;2022;1.318,67
Jornada a tiempo parcial;02 Aragón;3;2021;1.246,08
Jornada a tiempo parcial;02 Aragón;4;2022;1.524,28
Jornada a tiempo parcial;02 Aragón;4;2021;1.437,59
Jornada a tiempo parcial;02 Aragón;5;2022;1.748,40
Jornada a tiempo parcial;02 Aragón;5;2021;1.627,71
Jornada a tiempo parcial;02 Aragón;6;2022;1.887,69
Jornada a tiempo parcial;02 Aragón;6;2021;1.846,07
Jornada a tiempo parcial;02 Aragón;7;2022;2.124,82
Jornada a tiempo parcial;02 Aragón;7;2021;2.136,97
Jornada a tiempo parcial;02 Aragón;8;2022;2.585,29
Jornada a tiempo parcial;02 Aragón;8;2021;..
Jornada a tiempo parcial;02 Aragón;9;2022;2.961,19
Jornada a tiempo parcial;02 Aragón;9;2021;2.919,35
Jornada a tiempo parcial;02 Aragón;10;2022;..
Jornada a tiempo parcial;02 Aragón;10;2021;..
Jornada a tiempo parcial;03 Asturias, Principado de;Total decil;2022;864,54
Jornada a tiempo parcial;03 Asturias, Principado de;Total decil;2021;756,05
Jornada a tiempo parcial;03 Asturias, Principado de;1;2022;642,40
Jornada a tiempo parcial;03 Asturias, Principado de;1;2021;531,54
Jornada a tiempo parcial;03 Asturias, Principado de;2;2022;1.064,96
Jornada a tiempo parcial;03 Asturias, Principado de;2;2021;1.001,91
Jornada a tiempo parcial;03 Asturias, Principado de;3;2022;1.335,55
Jornada a tiempo parcial;03 Asturias, Principado de;3;2021;1.230,48
Jornada a tiempo parcial;03 Asturias, Principado de;4;2022;1.492,69
Jornada a tiempo parcial;03 Asturias, Principado de;4;2021;1.434,12
Jornada a tiempo parcial;03 Asturias, Principado de;5;2022;1.695,00
Jornada a tiempo parcial;03 Asturias, Principado de;5;2021;1.628,27
Jornada a tiempo parcial;03 Asturias, Principado de;6;2022;..
Jornada a tiempo parcial;03 Asturias, Principado de;6;2021;1.776,77
Jornada a tiempo parcial;03 Asturias, Principado de;7;2022;..
Jornada a tiempo parcial;03 Asturias, Principado de;7;2021;2.253,70
Jornada a tiempo parcial;03 Asturias, Principado de;8;2022;2.657,75
Jornada a tiempo parcial;03 Asturias, Principado de;8;2021;..
Jornada a tiempo parcial;03 Asturias, Principado de;9;2022;..
Jornada a tiempo parcial;03 Asturias, Principado de;9;2021;..
Jornada a tiempo parcial;03 Asturias, Principado de;10;2022;..
Jornada a tiempo parcial;03 Asturias, Principado de;10;2021;..
Jornada a tiempo parcial;04 Balears, Illes;Total decil;2022;1.061,02
Jornada a tiempo parcial;04 Balears, Illes;Total decil;2021;881,90
Jornada a tiempo parcial;04 Balears, Illes;1;2022;608,93
Jornada a tiempo parcial;04 Balears, Illes;1;2021;539,25
Jornada a tiempo parcial;04 Balears, Illes;2;2022;1.071,81
Jornada a tiempo parcial;04 Balears, Illes;2;2021;990,79
Jornada a tiempo parcial;04 Balears, Illes;3;2022;1.287,64
Jornada a tiempo parcial;04 Balears, Illes;3;2021;1.273,60
Jornada a tiempo parcial;04 Balears, Illes;4;2022;1.485,55
Jornada a tiempo parcial;04 Balears, Illes;4;2021;1.463,68
Jornada a tiempo parcial;04 Balears, Illes;5;2022;1.677,28
Jornada a tiempo parcial;04 Balears, Illes;5;2021;1.679,19
Jornada a tiempo parcial;04 Balears, Illes;6;2022;1.890,72
Jornada a tiempo parcial;04 Balears, Illes;6;2021;1.768,73
Jornada a tiempo parcial;04 Balears, Illes;7;2022;2.260,72
Jornada a tiempo parcial;04 Balears, Illes;7;2021;2.145,75
Jornada a tiempo parcial;04 Balears, Illes;8;2022;2.524,80
Jornada a tiempo parcial;04 Balears, Illes;8;2021;..
Jornada a tiempo parcial;04 Balears, Illes;9;2022;..
Jornada a tiempo parcial;04 Balears, Illes;9;2021;3.027,71
Jornada a tiempo parcial;04 Balears, Illes;10;2022;..
Jornada a tiempo parcial;04 Balears, Illes;10;2021;..
Jornada a tiempo parcial;05 Canarias;Total decil;2022;771,12
Jornada a tiempo parcial;05 Canarias;Total decil;2021;856,08
Jornada a tiempo parcial;05 Canarias;1;2022;649,11
Jornada a tiempo parcial;05 Canarias;1;2021;553,33
Jornada a tiempo parcial;05 Canarias;2;2022;1.110,51
Jornada a tiempo parcial;05 Canarias;2;2021;970,09
Jornada a tiempo parcial;05 Canarias;3;2022;1.333,03
Jornada a tiempo parcial;05 Canarias;3;2021;1.267,78
Jornada a tiempo parcial;05 Canarias;4;2022;1.514,63
Jornada a tiempo parcial;05 Canarias;4;2021;1.457,48
Jornada a tiempo parcial;05 Canarias;5;2022;1.782,37
Jornada a tiempo parcial;05 Canarias;5;2021;1.669,13
Jornada a tiempo parcial;05 Canarias;6;2022;..
Jornada a tiempo parcial;05 Canarias;6;2021;1.817,49
Jornada a tiempo parcial;05 Canarias;7;2022;2.068,16
Jornada a tiempo parcial;05 Canarias;7;2021;2.048,86
Jornada a tiempo parcial;05 Canarias;8;2022;2.460,16
Jornada a tiempo parcial;05 Canarias;8;2021;..
Jornada a tiempo parcial;05 Canarias;9;2022;3.075,25
Jornada a tiempo parcial;05 Canarias;9;2021;2.881,14
Jornada a tiempo parcial;05 Canarias;10;2022;..
Jornada a tiempo parcial;05 Canarias;10;2021;..
Jornada a tiempo parcial;06 Cantabria;Total decil;2022;917,77
Jornada a tiempo parcial;06 Cantabria;Total decil;2021;849,53
Jornada a tiempo parcial;06 Cantabria;1;2022;664,48
Jornada a tiempo parcial;06 Cantabria;1;2021;544,86
Jornada a tiempo parcial;06 Cantabria;2;2022;1.092,50
Jornada a tiempo parcial;06 Cantabria;2;2021;986,41
Jornada a tiempo parcial;06 Cantabria;3;2022;1.301,19
Jornada a tiempo parcial;06 Cantabria;3;2021;1.261,62
Jornada a tiempo parcial;06 Cantabria;4;2022;1.516,84
Jornada a tiempo parcial;06 Cantabria;4;2021;1.513,68
Jornada a tiempo parcial;06 Cantabria;5;2022;1.695,73
Jornada a tiempo parcial;06 Cantabria;5;2021;1.638,77
Jornada a tiempo parcial;06 Cantabria;6;2022;1.894,58
Jornada a tiempo parcial;06 Cantabria;6;2021;1.793,96
Jornada a tiempo parcial;06 Cantabria;7;2022;..
Jornada a tiempo parcial;06 Cantabria;7;2021;2.168,40
Jornada a tiempo parcial;06 Cantabria;8;2022;2.386,06
Jornada a tiempo parcial;06 Cantabria;8;2021;..
Jornada a tiempo parcial;06 Cantabria;9;2022;2.869,55
Jornada a tiempo parcial;06 Cantabria;9;2021;..
Jornada a tiempo parcial;06 Cantabria;10;2022;..
Jornada a tiempo parcial;06 Cantabria;10;2021;..
Jornada a tiempo parcial;07 Castilla y León;Total decil;2022;873,41
Jornada a tiempo parcial;07 Castilla y León;Total decil;2021;826,59
Jornada a tiempo parcial;07 Castilla y León;1;2022;617,63
Jornada a tiempo parcial;07 Castilla y León;1;2021;537,29
Jornada a tiempo parcial;07 Castilla y León;2;2022;1.068,27
Jornada a tiempo parcial;07 Castilla y León;2;2021;1.003,26
Jornada a tiempo parcial;07 Castilla y León;3;2022;1.345,37
Jornada a tiempo parcial;07 Castilla y León;3;2021;1.285,40
Jornada a tiempo parcial;07 Castilla y León;4;2022;1.512,59
Jornada a tiempo parcial;07 Castilla y León;4;2021;1.454,16
Jornada a tiempo parcial;07 Castilla y León;5;2022;1.692,81
Jornada a tiempo parcial;07 Castilla y León;5;2021;1.679,63
Jornada a tiempo parcial;07 Castilla y León;6;2022;1.917,62
Jornada a tiempo parcial;07 Castilla y León;6;2021;1.827,14
Jornada a tiempo parcial;07 Castilla y León;7;2022;2.156,40
Jornada a tiempo parcial;07 Castilla y León;7;2021;2.077,44
Jornada a tiempo parcial;07 Castilla y León;8;2022;2.533,48
Jornada a tiempo parcial;07 Castilla y León;8;2021;2.473,98
Jornada a tiempo parcial;07 Castilla y León;9;2022;..
Jornada a tiempo parcial;07 Castilla y León;9;2021;2.985,85
Jornada a tiempo parcial;07 Castilla y León;10;2022;..
Jornada a tiempo parcial;07 Castilla y León;10;2021;..
Jornada a tiempo parcial;08 Castilla - La Mancha;Total decil;2022;902,19
Jornada a tiempo parcial;08 Castilla - La Mancha;Total decil;2021;842,10
Jornada a tiempo parcial;08 Castilla - La Mancha;1;2022;599,29
Jornada a tiempo parcial;08 Castilla - La Mancha;1;2021;562,49
Jornada a tiempo parcial;08 Castilla - La Mancha;2;2022;1.068,34
Jornada a tiempo parcial;08 Castilla - La Mancha;2;2021;988,19
Jornada a tiempo parcial;08 Castilla - La Mancha;3;2022;1.354,88
Jornada a tiempo parcial;08 Castilla - La Mancha;3;2021;1.281,55
Jornada a tiempo parcial;08 Castilla - La Mancha;4;2022;1.541,12
Jornada a tiempo parcial;08 Castilla - La Mancha;4;2021;1.435,98
Jornada a tiempo parcial;08 Castilla - La Mancha;5;2022;1.703,37
Jornada a tiempo parcial;08 Castilla - La Mancha;5;2021;1.606,19
Jornada a tiempo parcial;08 Castilla - La Mancha;6;2022;1.904,44
Jornada a tiempo parcial;08 Castilla - La Mancha;6;2021;1.888,76
Jornada a tiempo parcial;08 Castilla - La Mancha;7;2022;2.314,56
Jornada a tiempo parcial;08 Castilla - La Mancha;7;2021;2.140,13
Jornada a tiempo parcial;08 Castilla - La Mancha;8;2022;2.651,46
Jornada a tiempo parcial;08 Castilla - La Mancha;8;2021;2.558,22
Jornada a tiempo parcial;08 Castilla - La Mancha;9;2022;2.930,32
Jornada a tiempo parcial;08 Castilla - La Mancha;9;2021;2.873,72
Jornada a tiempo parcial;08 Castilla - La Mancha;10;2022;..
Jornada a tiempo parcial;08 Castilla - La Mancha;10;2021;..
Jornada a tiempo parcial;09 Cataluña;Total decil;2022;938,51
Jornada a tiempo parcial;09 Cataluña;Total decil;2021;869,64
Jornada a tiempo parcial;09 Cataluña;1;2022;607,77
Jornada a tiempo parcial;09 Cataluña;1;2021;556,25
Jornada a tiempo parcial;09 Cataluña;2;2022;1.086,48
Jornada a tiempo parcial;09 Cataluña;2;2021;1.002,35
Jornada a tiempo parcial;09 Cataluña;3;2022;1.346,72
Jornada a tiempo parcial;09 Cataluña;3;2021;1.289,40
Jornada a tiempo parcial;09 Cataluña;4;2022;1.513,30
Jornada a tiempo parcial;09 Cataluña;4;2021;1.441,41
Jornada a tiempo parcial;09 Cataluña;5;2022;1.721,07
Jornada a tiempo parcial;09 Cataluña;5;2021;1.668,09
Jornada a tiempo parcial;09 Cataluña;6;2022;..
Jornada a tiempo parcial;09 Cataluña;6;2021;1.868,69
Jornada a tiempo parcial;09 Cataluña;7;2022;2.103,47
Jornada a tiempo parcial;09 Cataluña;7;2021;2.095,71
Jornada a tiempo parcial;09 Cataluña;8;2022;2.512,26
Jornada a tiempo parcial;09 Cataluña;8;2021;2.503,72
Jornada a tiempo parcial;09 Cataluña;9;2022;3.066,06
Jornada a tiempo parcial;09 Cataluña;9;2021;2.865,53
Jornada a tiempo parcial;09 Cataluña;10;2022;..
Jornada a tiempo parcial;09 Cataluña;10;2021;..
Jornada a tiempo parcial;10 Comunitat Valenciana;Total decil;2022;881,25
Jornada a tiempo parcial;10 Comunitat Valenciana;Total decil;2021;788,21
Jornada a tiempo parcial;10 Comunitat Valenciana;1;2022;593,48
Jornada a tiempo parcial;10 Comunitat Valenciana;1;2021;568,01
Jornada a tiempo parcial;10 Comunitat Valenciana;2;2022;1.105,61
Jornada a tiempo parcial;10 Comunitat Valenciana;2;2021;1.010,46
Jornada a tiempo parcial;10 Comunitat Valenciana;3;2022;1.334,03
Jornada a tiempo parcial;10 Comunitat Valenciana;3;2021;1.265,77
Jornada a tiempo parcial;10 Comunitat Valenciana;4;2022;1.504,29
Jornada a tiempo parcial;10 Comunitat Valenciana;4;2021;1.461,58
Jornada a tiempo parcial;10 Comunitat Valenciana;5;2022;1.679,05
Jornada a tiempo parcial;10 Comunitat Valenciana;5;2021;1.642,55
Jornada a tiempo parcial;10 Comunitat Valenciana;6;2022;1.873,69
Jornada a tiempo parcial;10 Comunitat Valenciana;6;2021;1.802,19
Jornada a tiempo parcial;10 Comunitat Valenciana;7;2022;2.105,26
Jornada a tiempo parcial;10 Comunitat Valenciana;7;2021;2.048,10
Jornada a tiempo parcial;10 Comunitat Valenciana;8;2022;2.542,68
Jornada a tiempo parcial;10 Comunitat Valenciana;8;2021;2.493,04
Jornada a tiempo parcial;10 Comunitat Valenciana;9;2022;3.140,57
Jornada a tiempo parcial;10 Comunitat Valenciana;9;2021;2.967,77
Jornada a tiempo parcial;10 Comunitat Valenciana;10;2022;4.104,90
Jornada a tiempo parcial;10 Comunitat Valenciana;10;2021;..
Jornada a tiempo parcial;11 Extremadura;Total decil;2022;753,19
Jornada a tiempo parcial;11 Extremadura;Total decil;2021;700,99
Jornada a tiempo parcial;11 Extremadura;1;2022;565,82
Jornada a tiempo parcial;11 Extremadura;1;2021;547,94
Jornada a tiempo parcial;11 Extremadura;2;2022;1.071,04
Jornada a tiempo parcial;11 Extremadura;2;2021;991,59
Jornada a tiempo parcial;11 Extremadura;3;2022;1.318,77
Jornada a tiempo parcial;11 Extremadura;3;2021;1.247,38
Jornada a tiempo parcial;11 Extremadura;4;2022;1.481,09
Jornada a tiempo parcial;11 Extremadura;4;2021;1.434,79
Jornada a tiempo parcial;11 Extremadura;5;2022;1.644,95
Jornada a tiempo parcial;11 Extremadura;5;2021;1.754,58
Jornada a tiempo parcial;11 Extremadura;6;2022;..
Jornada a tiempo parcial;11 Extremadura;6;2021;1.856,78
Jornada a tiempo parcial;11 Extremadura;7;2022;2.316,84
Jornada a tiempo parcial;11 Extremadura;7;2021;..
Jornada a tiempo parcial;11 Extremadura;8;2022;..
Jornada a tiempo parcial;11 Extremadura;8;2021;..
Jornada a tiempo parcial;11 Extremadura;9;2022;2.988,14
Jornada a tiempo parcial;11 Extremadura;9;2021;..
Jornada a tiempo parcial;11 Extremadura;10;2022;..
Jornada a tiempo parcial;11 Extremadura;10;2021;..
Jornada a tiempo parcial;12 Galicia;Total decil;2022;835,63
Jornada a tiempo parcial;12 Galicia;Total decil;2021;815,58
Jornada a tiempo parcial;12 Galicia;1;2022;598,35
Jornada a tiempo parcial;12 Galicia;1;2021;580,35
Jornada a tiempo parcial;12 Galicia;2;2022;1.085,18
Jornada a tiempo parcial;12 Galicia;2;2021;980,93
Jornada a tiempo parcial;12 Galicia;3;2022;1.354,94
Jornada a tiempo parcial;12 Galicia;3;2021;1.254,51
Jornada a tiempo parcial;12 Galicia;4;2022;1.521,46
Jornada a tiempo parcial;12 Galicia;4;2021;1.450,22
Jornada a tiempo parcial;12 Galicia;5;2022;1.692,80
Jornada a tiempo parcial;12 Galicia;5;2021;1.635,89
Jornada a tiempo parcial;12 Galicia;6;2022;1.871,09
Jornada a tiempo parcial;12 Galicia;6;2021;1.869,63
Jornada a tiempo parcial;12 Galicia;7;2022;2.296,99
Jornada a tiempo parcial;12 Galicia;7;2021;2.228,38
Jornada a tiempo parcial;12 Galicia;8;2022;2.708,58
Jornada a tiempo parcial;12 Galicia;8;2021;..
Jornada a tiempo parcial;12 Galicia;9;2022;3.206,86
Jornada a tiempo parcial;12 Galicia;9;2021;..
Jornada a tiempo parcial;12 Galicia;10;2022;..
Jornada a tiempo parcial;12 Galicia;10;2021;..
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2022;954,39
Jornada a tiempo parcial;13 Madrid, Comunidad de;Total decil;2021;809,60
Jornada a tiempo parcial;13 Madrid, Comunidad de;1;2022;606,86
Jornada a tiempo parcial;13 Madrid, Comunidad de;1;2021;526,95
Jornada a tiempo parcial;13 Madrid, Comunidad de;2;2022;1.068,10
Jornada a tiempo parcial;13 Madrid, Comunidad de;2;2021;1.002,23
Jornada a tiempo parcial;13 Madrid, Comunidad de;3;2022;1.367,13
Jornada a tiempo parcial;13 Madrid, Comunidad de;3;2021;1.245,14
Jornada a tiempo parcial;13 Madrid, Comunidad de;4;2022;1.510,85
Jornada a tiempo parcial;13 Madrid, Comunidad de;4;2021;1.448,59
Jornada a tiempo parcial;13 Madrid, Comunidad de;5;2022;1.735,60
Jornada a tiempo parcial;13 Madrid, Comunidad de;5;2021;1.627,32
Jornada a tiempo parcial;13 Madrid, Comunidad de;6;2022;1.942,49
Jornada a tiempo parcial;13 Madrid, Comunidad de;6;2021;1.891,62
Jornada a tiempo parcial;13 Madrid, Comunidad de;7;2022;2.136,82
Jornada a tiempo parcial;13 Madrid, Comunidad de;7;2021;2.097,71
Jornada a tiempo parcial;13 Madrid, Comunidad de;8;2022;2.566,41
Jornada a tiempo parcial;13 Madrid, Comunidad de;8;2021;2.525,84
Jornada a tiempo parcial;13 Madrid, Comunidad de;9;2022;3.017,63
Jornada a tiempo parcial;13 Madrid, Comunidad de;9;2021;2.831,47
Jornada a tiempo parcial;13 Madrid, Comunidad de;10;2022;4.104,90
Jornada a tiempo parcial;13 Madrid, Comunidad de;10;2021;..
Jornada a tiempo parcial;14 Murcia, Región de;Total decil;2022;811,98
Jornada a tiempo parcial;14 Murcia, Región de;Total decil;2021;857,73
Jornada a tiempo parcial;14 Murcia, Región de;1;2022;580,44
Jornada a tiempo parcial;14 Murcia, Región de;1;2021;591,07
Jornada a tiempo parcial;14 Murcia, Región de;2;2022;1.075,10
Jornada a tiempo parcial;14 Murcia, Región de;2;2021;1.035,74
Jornada a tiempo parcial;14 Murcia, Región de;3;2022;1.327,84
Jornada a tiempo parcial;14 Murcia, Región de;3;2021;1.269,93
Jornada a tiempo parcial;14 Murcia, Región de;4;2022;1.540,89
Jornada a tiempo parcial;14 Murcia, Región de;4;2021;1.456,01
Jornada a tiempo parcial;14 Murcia, Región de;5;2022;1.706,17
Jornada a tiempo parcial;14 Murcia, Región de;5;2021;1.639,51
Jornada a tiempo parcial;14 Murcia, Región de;6;2022;1.947,03
Jornada a tiempo parcial;14 Murcia, Región de;6;2021;1.965,76
Jornada a tiempo parcial;14 Murcia, Región de;7;2022;2.155,30
Jornada a tiempo parcial;14 Murcia, Región de;7;2021;2.237,40
Jornada a tiempo parcial;14 Murcia, Región de;8;2022;2.472,99
Jornada a tiempo parcial;14 Murcia, Región de;8;2021;2.514,38
Jornada a tiempo parcial;14 Murcia, Región de;9;2022;..
Jornada a tiempo parcial;14 Murcia, Región de;9;2021;..
Jornada a tiempo parcial;14 Murcia, Región de;10;2022;..
Jornada a tiempo parcial;14 Murcia, Región de;10;2021;..
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;Total decil;2022;1.112,39
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;Total decil;2021;1.063,22
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;1;2022;642,07
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;1;2021;555,84
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;2;2022;1.077,95
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;2;2021;971,58
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;3;2022;1.327,24
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;3;2021;1.309,17
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;4;2022;1.518,90
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;4;2021;1.473,28
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;5;2022;1.718,09
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;5;2021;1.653,80
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;6;2022;1.902,84
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;6;2021;1.870,03
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;7;2022;2.269,38
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;7;2021;2.093,85
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;8;2022;2.433,28
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;8;2021;2.570,63
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;9;2022;3.293,39
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;9;2021;..
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;10;2022;..
Jornada a tiempo parcial;15 Navarra, Comunidad Foral de;10;2021;..
Jornada a tiempo parcial;16 País Vasco;Total decil;2022;1.063,31
Jornada a tiempo parcial;16 País Vasco;Total decil;2021;995,11
Jornada a tiempo parcial;16 País Vasco;1;2022;596,56
Jornada a tiempo parcial;16 País Vasco;1;2021;518,42
Jornada a tiempo parcial;16 País Vasco;2;2022;1.080,23
Jornada a tiempo parcial;16 País Vasco;2;2021;1.010,00
Jornada a tiempo parcial;16 País Vasco;3;2022;1.362,49
Jornada a tiempo parcial;16 País Vasco;3;2021;1.267,02
Jornada a tiempo parcial;16 País Vasco;4;2022;1.532,77
Jornada a tiempo parcial;16 País Vasco;4;2021;1.443,99
Jornada a tiempo parcial;16 País Vasco;5;2022;1.742,56
Jornada a tiempo parcial;16 País Vasco;5;2021;1.642,80
Jornada a tiempo parcial;16 País Vasco;6;2022;1.919,78
Jornada a tiempo parcial;16 País Vasco;6;2021;1.866,36
Jornada a tiempo parcial;16 País Vasco;7;2022;2.232,69
Jornada a tiempo parcial;16 País Vasco;7;2021;2.160,52
Jornada a tiempo parcial;16 País Vasco;8;2022;2.573,63
Jornada a tiempo parcial;16 País Vasco;8;2021;2.593,88
Jornada a tiempo parcial;16 País Vasco;9;2022;3.114,12
Jornada a tiempo parcial;16 País Vasco;9;2021;2.866,08
Jornada a tiempo parcial;16 País Vasco;10;2022;..
Jornada a tiempo parcial;16 País Vasco;10;2021;..
Jornada a tiempo parcial;17 Rioja, La;Total decil;2022;1.039,52
Jornada a tiempo parcial;17 Rioja, La;Total decil;2021;855,44
Jornada a tiempo parcial;17 Rioja, La;1;2022;665,27
Jornada a tiempo parcial;17 Rioja, La;1;2021;570,00
Jornada a tiempo parcial;17 Rioja, La;2;2022;1.078,32
Jornada a tiempo parcial;17 Rioja, La;2;2021;979,64
Jornada a tiempo parcial;17 Rioja, La;3;2022;1.294,64
Jornada a tiempo parcial;17 Rioja, La;3;2021;1.226,36
Jornada a tiempo parcial;17 Rioja, La;4;2022;1.504,86
Jornada a tiempo parcial;17 Rioja, La;4;2021;1.399,75
Jornada a tiempo parcial;17 Rioja, La;5;2022;1.737,73
Jornada a tiempo parcial;17 Rioja, La;5;2021;1.693,51
Jornada a tiempo parcial;17 Rioja, La;6;2022;1.901,37
Jornada a tiempo parcial;17 Rioja, La;6;2021;1.846,85
Jornada a tiempo parcial;17 Rioja, La;7;2022;..
Jornada a tiempo parcial;17 Rioja, La;7;2021;..
Jornada a tiempo parcial;17 Rioja, La;8;2022;2.578,26
Jornada a tiempo parcial;17 Rioja, La;8;2021;2.510,03
Jornada a tiempo parcial;17 Rioja, La;9;2022;3.567,29
Jornada a tiempo parcial;17 Rioja, La;9;2021;..
Jornada a tiempo parcial;17 Rioja, La;10;2022;..
Jornada a tiempo parcial;17 Rioja, La;10;2021;..
Jornada a tiempo parcial;18 Ceuta;Total decil;2022;926,24
Jornada a tiempo parcial;18 Ceuta;Total decil;2021;834,86
Jornada a tiempo parcial;18 Ceuta;1;2022;699,26
Jornada a tiempo parcial;18 Ceuta;1;2021;755,08
Jornada a tiempo parcial;18 Ceuta;2;2022;1.107,34
Jornada a tiempo parcial;18 Ceuta;2;2021;977,33
Jornada a tiempo parcial;18 Ceuta;3;2022;1.421,69
Jornada a tiempo parcial;18 Ceuta;3;2021;1.351,00
Jornada a tiempo parcial;18 Ceuta;4;2022;..
Jornada a tiempo parcial;18 Ceuta;4;2021;..
Jornada a tiempo parcial;18 Ceuta;5;2022;..
Jornada a tiempo parcial;18 Ceuta;5;2021;..
Jornada a tiempo parcial;18 Ceuta;6;2022;..
Jornada a tiempo parcial;18 Ceuta;6;2021;..
Jornada a tiempo parcial;18 Ceuta;7;2022;..
Jornada a tiempo parcial;18 Ceuta;7;2021;..
Jornada a tiempo parcial;18 Ceuta;8;2022;..
Jornada a tiempo parcial;18 Ceuta;8;2021;..
Jornada a tiempo parcial;18 Ceuta;9;2022;..
Jornada a tiempo parcial;18 Ceuta;9;2021;..
Jornada a tiempo parcial;18 Ceuta;10;2022;..
Jornada a tiempo parcial;18 Ceuta;10;2021;..
Jornada a tiempo parcial;19 Melilla;Total decil;2022;1.095,44
Jornada a tiempo parcial;19 Melilla;Total decil;2021;983,50
Jornada a tiempo parcial;19 Melilla;1;2022;347,35
Jornada a tiempo parcial;19 Melilla;1;2021;785,29
Jornada a tiempo parcial;19 Melilla;2;2022;1.157,37
Jornada a tiempo parcial;19 Melilla;2;2021;1.008,28
Jornada a tiempo parcial;19 Melilla;3;2022;1.358,92
Jornada a tiempo parcial;19 Melilla;3;2021;1.184,87
Jornada a tiempo parcial;19 Melilla;4;2022;1.553,61
Jornada a tiempo parcial;19 Melilla;4;2021;1.549,63
Jornada a tiempo parcial;19 Melilla;5;2022;..
Jornada a tiempo parcial;19 Melilla;5;2021;..
Jornada a tiempo parcial;19 Melilla;6;2022;1.855,08
Jornada a tiempo parcial;19 Melilla;6;2021;..
Jornada a tiempo parcial;19 Melilla;7;2022;..
Jornada a tiempo parcial;19 Melilla;7;2021;..
Jornada a tiempo parcial;19 Melilla;8;2022;..
Jornada a tiempo parcial;19 Melilla;8;2021;..
Jornada a tiempo parcial;19 Melilla;9;2022;..
Jornada a tiempo parcial;19 Melilla;9;2021;..
Jornada a tiempo parcial;19 Melilla;10;2022;..
Jornada a tiempo parcial;19 Melilla;10;2021;..
