Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con cosumo entre 9.001 y 10.000 kwh;6.199
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas con consumo mayor de 10.000 kwh;17.432
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas totales;551.237
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas vacías;100.375
Total Nacional;05 Canarias;35 Palmas, Las;;Mediana consumo anual;2.382
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con bajo consumo;12.667
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas de uso esporádico;37.722
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas de uso esporádico (entre 251 y 500 kwh);18.032
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas de uso esporádico (entre 501 y 750 kwh);19.690
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 751 y 1.000 kwh;22.302
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 1.001 y 2.000 kwh;114.054
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 2.001 y 3.000 kwh;110.084
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 3.001 y 4.000 kwh;73.544
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 4.001 y 5.000 kwh;37.757
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 5.001 y 6.000 kwh;18.169
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 6.001 y 7.000 kwh;8.999
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 7.001 y 8.000 kwh;4.986
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.920
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.910
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas con consumo mayor de 10.000 kwh;5.748
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas totales;537.463
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas vacías;110.956
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Mediana consumo anual;2.115
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con bajo consumo;15.162
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas de uso esporádico;46.000
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas de uso esporádico (entre 251 y 500 kwh);21.673
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas de uso esporádico (entre 501 y 750 kwh);24.327
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 751 y 1.000 kwh;27.734
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 1.001 y 2.000 kwh;119.240
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 2.001 y 3.000 kwh;94.606
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 3.001 y 4.000 kwh;58.340
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 4.001 y 5.000 kwh;30.171
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 5.001 y 6.000 kwh;14.646
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 6.001 y 7.000 kwh;7.419
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 7.001 y 8.000 kwh;4.029
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.346
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.530
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas con consumo mayor de 10.000 kwh;5.284
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas totales;383.642
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas vacías;49.497
Total Nacional;06 Cantabria;39 Cantabria;;Mediana consumo anual;1.685
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con bajo consumo;23.016
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas de uso esporádico;59.608
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas de uso esporádico (entre 251 y 500 kwh);31.919
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas de uso esporádico (entre 501 y 750 kwh);27.689
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con cosumo entre 751 y 1.000 kwh;25.658
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con cosumo entre 1.001 y 2.000 kwh;100.869
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con cosumo entre 2.001 y 3.000 kwh;67.484
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con cosumo entre 3.001 y 4.000 kwh;29.677
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con cosumo entre 4.001 y 5.000 kwh;12.317
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con cosumo entre 5.001 y 6.000 kwh;5.711
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con cosumo entre 6.001 y 7.000 kwh;3.077
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.738
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.132
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con cosumo entre 9.001 y 10.000 kwh;789
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas con consumo mayor de 10.000 kwh;3.069
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas totales;171.947
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas vacías;37.424
Total Nacional;07 Castilla y León;05 Ávila;;Mediana consumo anual;1.451
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con bajo consumo;16.377
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas de uso esporádico;30.681
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas de uso esporádico (entre 251 y 500 kwh);17.221
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas de uso esporádico (entre 501 y 750 kwh);13.460
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con cosumo entre 751 y 1.000 kwh;11.404
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con cosumo entre 1.001 y 2.000 kwh;33.738
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con cosumo entre 2.001 y 3.000 kwh;20.516
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con cosumo entre 3.001 y 4.000 kwh;10.115
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con cosumo entre 4.001 y 5.000 kwh;4.589
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con cosumo entre 5.001 y 6.000 kwh;2.260
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.355
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con cosumo entre 7.001 y 8.000 kwh;858
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con cosumo entre 8.001 y 9.000 kwh;646
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con cosumo entre 9.001 y 10.000 kwh;414
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas con consumo mayor de 10.000 kwh;1.570
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas totales;275.639
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas vacías;48.577
Total Nacional;07 Castilla y León;09 Burgos;;Mediana consumo anual;1.511
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con bajo consumo;21.589
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas de uso esporádico;43.253
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas de uso esporádico (entre 251 y 500 kwh);22.989
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas de uso esporádico (entre 501 y 750 kwh);20.264
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con cosumo entre 751 y 1.000 kwh;20.108
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con cosumo entre 1.001 y 2.000 kwh;72.274
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con cosumo entre 2.001 y 3.000 kwh;40.401
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con cosumo entre 3.001 y 4.000 kwh;14.852
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con cosumo entre 4.001 y 5.000 kwh;5.560
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con cosumo entre 5.001 y 6.000 kwh;2.663
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.658
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.242
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con cosumo entre 8.001 y 9.000 kwh;869
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con cosumo entre 9.001 y 10.000 kwh;636
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas con consumo mayor de 10.000 kwh;1.957
Total Nacional;07 Castilla y León;24 León;;Viviendas totales;354.725
Total Nacional;07 Castilla y León;24 León;;Viviendas vacías;89.097
Total Nacional;07 Castilla y León;24 León;;Mediana consumo anual;1.715
Total Nacional;07 Castilla y León;24 León;;Viviendas con bajo consumo;21.467
Total Nacional;07 Castilla y León;24 León;;Viviendas de uso esporádico;43.140
Total Nacional;07 Castilla y León;24 León;;Viviendas de uso esporádico (entre 251 y 500 kwh);22.794
Total Nacional;07 Castilla y León;24 León;;Viviendas de uso esporádico (entre 501 y 750 kwh);20.346
Total Nacional;07 Castilla y León;24 León;;Viviendas con cosumo entre 751 y 1.000 kwh;20.602
Total Nacional;07 Castilla y León;24 León;;Viviendas con cosumo entre 1.001 y 2.000 kwh;78.859
Total Nacional;07 Castilla y León;24 León;;Viviendas con cosumo entre 2.001 y 3.000 kwh;50.753
Total Nacional;07 Castilla y León;24 León;;Viviendas con cosumo entre 3.001 y 4.000 kwh;23.227
Total Nacional;07 Castilla y León;24 León;;Viviendas con cosumo entre 4.001 y 5.000 kwh;10.282
Total Nacional;07 Castilla y León;24 León;;Viviendas con cosumo entre 5.001 y 6.000 kwh;5.014
Total Nacional;07 Castilla y León;24 León;;Viviendas con cosumo entre 6.001 y 7.000 kwh;2.936
Total Nacional;07 Castilla y León;24 León;;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.054
Total Nacional;07 Castilla y León;24 León;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.494
Total Nacional;07 Castilla y León;24 León;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.114
Total Nacional;07 Castilla y León;24 León;;Viviendas con consumo mayor de 10.000 kwh;4.686
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas totales;116.431
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas vacías;18.351
Total Nacional;07 Castilla y León;34 Palencia;;Mediana consumo anual;1.542
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con bajo consumo;9.534
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas de uso esporádico;18.206
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas de uso esporádico (entre 251 y 500 kwh);9.889
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas de uso esporádico (entre 501 y 750 kwh);8.317
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con cosumo entre 751 y 1.000 kwh;8.276
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con cosumo entre 1.001 y 2.000 kwh;31.096
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con cosumo entre 2.001 y 3.000 kwh;18.437
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con cosumo entre 3.001 y 4.000 kwh;6.945
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con cosumo entre 4.001 y 5.000 kwh;2.334
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con cosumo entre 5.001 y 6.000 kwh;977
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con cosumo entre 6.001 y 7.000 kwh;554
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con cosumo entre 7.001 y 8.000 kwh;389
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con cosumo entre 8.001 y 9.000 kwh;288
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con cosumo entre 9.001 y 10.000 kwh;204
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas con consumo mayor de 10.000 kwh;840
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas totales;246.123
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas vacías;41.709
Total Nacional;07 Castilla y León;37 Salamanca;;Mediana consumo anual;1.678
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con bajo consumo;17.493
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas de uso esporádico;33.339
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas de uso esporádico (entre 251 y 500 kwh);17.648
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas de uso esporádico (entre 501 y 750 kwh);15.691
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con cosumo entre 751 y 1.000 kwh;16.179
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con cosumo entre 1.001 y 2.000 kwh;62.503
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con cosumo entre 2.001 y 3.000 kwh;38.583
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con cosumo entre 3.001 y 4.000 kwh;16.669
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con cosumo entre 4.001 y 5.000 kwh;7.122
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con cosumo entre 5.001 y 6.000 kwh;3.615
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con cosumo entre 6.001 y 7.000 kwh;2.285
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.697
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.308
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con cosumo entre 9.001 y 10.000 kwh;948
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas con consumo mayor de 10.000 kwh;2.673
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas totales;128.255
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas vacías;35.253
Total Nacional;07 Castilla y León;40 Segovia;;Mediana consumo anual;1.925
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con bajo consumo;6.911
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas de uso esporádico;15.412
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas de uso esporádico (entre 251 y 500 kwh);8.232
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas de uso esporádico (entre 501 y 750 kwh);7.180
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con cosumo entre 751 y 1.000 kwh;6.361
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con cosumo entre 1.001 y 2.000 kwh;22.799
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con cosumo entre 2.001 y 3.000 kwh;17.216
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con cosumo entre 3.001 y 4.000 kwh;9.873
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con cosumo entre 4.001 y 5.000 kwh;5.211
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con cosumo entre 5.001 y 6.000 kwh;2.634
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.628
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.061
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con cosumo entre 8.001 y 9.000 kwh;776
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con cosumo entre 9.001 y 10.000 kwh;577
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas con consumo mayor de 10.000 kwh;2.543
Total Nacional;07 Castilla y León;42 Soria;;Viviendas totales;84.255
Total Nacional;07 Castilla y León;42 Soria;;Viviendas vacías;21.159
Total Nacional;07 Castilla y León;42 Soria;;Mediana consumo anual;1.466
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con bajo consumo;7.665
Total Nacional;07 Castilla y León;42 Soria;;Viviendas de uso esporádico;13.353
Total Nacional;07 Castilla y León;42 Soria;;Viviendas de uso esporádico (entre 251 y 500 kwh);7.593
Total Nacional;07 Castilla y León;42 Soria;;Viviendas de uso esporádico (entre 501 y 750 kwh);5.760
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con cosumo entre 751 y 1.000 kwh;5.261
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con cosumo entre 1.001 y 2.000 kwh;17.874
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con cosumo entre 2.001 y 3.000 kwh;10.596
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con cosumo entre 3.001 y 4.000 kwh;4.284
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.590
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con cosumo entre 5.001 y 6.000 kwh;740
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con cosumo entre 6.001 y 7.000 kwh;448
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con cosumo entre 7.001 y 8.000 kwh;280
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con cosumo entre 8.001 y 9.000 kwh;231
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con cosumo entre 9.001 y 10.000 kwh;164
Total Nacional;07 Castilla y León;42 Soria;;Viviendas con consumo mayor de 10.000 kwh;610
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas totales;296.910
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas vacías;27.222
Total Nacional;07 Castilla y León;47 Valladolid;;Mediana consumo anual;1.731
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con bajo consumo;13.716
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas de uso esporádico;34.852
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas de uso esporádico (entre 251 y 500 kwh);16.882
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas de uso esporádico (entre 501 y 750 kwh);17.970
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con cosumo entre 751 y 1.000 kwh;21.289
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con cosumo entre 1.001 y 2.000 kwh;96.295
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con cosumo entre 2.001 y 3.000 kwh;60.684
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con cosumo entre 3.001 y 4.000 kwh;23.552
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con cosumo entre 4.001 y 5.000 kwh;8.594
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con cosumo entre 5.001 y 6.000 kwh;3.632
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.958
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.262
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con cosumo entre 8.001 y 9.000 kwh;850
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con cosumo entre 9.001 y 10.000 kwh;654
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas con consumo mayor de 10.000 kwh;2.350
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas totales;155.610
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas vacías;41.812
Total Nacional;07 Castilla y León;49 Zamora;;Mediana consumo anual;1.652
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con bajo consumo;12.377
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas de uso esporádico;20.861
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas de uso esporádico (entre 251 y 500 kwh);11.594
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas de uso esporádico (entre 501 y 750 kwh);9.267
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con cosumo entre 751 y 1.000 kwh;8.661
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con cosumo entre 1.001 y 2.000 kwh;31.039
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con cosumo entre 2.001 y 3.000 kwh;20.160
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con cosumo entre 3.001 y 4.000 kwh;9.108
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con cosumo entre 4.001 y 5.000 kwh;4.053
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con cosumo entre 5.001 y 6.000 kwh;2.106
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.375
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con cosumo entre 7.001 y 8.000 kwh;943
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con cosumo entre 8.001 y 9.000 kwh;739
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con cosumo entre 9.001 y 10.000 kwh;567
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas con consumo mayor de 10.000 kwh;1.809
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas totales;241.313
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas vacías;39.878
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Mediana consumo anual;2.051
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas con bajo consumo;12.596
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas de uso esporádico;27.113
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas de uso esporádico (entre 251 y 500 kwh);14.392
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas de uso esporádico (entre 501 y 750 kwh);12.721
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas con cosumo entre 751 y 1.000 kwh;12.559
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas con cosumo entre 1.001 y 2.000 kwh;52.153
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas con cosumo entre 2.001 y 3.000 kwh;42.757
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas con cosumo entre 3.001 y 4.000 kwh;24.677
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas con cosumo entre 4.001 y 5.000 kwh;12.310
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas con cosumo entre 5.001 y 6.000 kwh;6.023
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas con cosumo entre 6.001 y 7.000 kwh;3.453
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.174
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.504
