Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 1.001 y 2.000 kwh;55.671
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 2.001 y 3.000 kwh;46.872
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 3.001 y 4.000 kwh;29.205
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 4.001 y 5.000 kwh;15.277
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 5.001 y 6.000 kwh;7.750
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.266
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.579
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.582
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.092
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas con consumo mayor de 10.000 kwh;3.288
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas totales;686.961
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas vacías;163.164
Total Nacional;12 Galicia;15 Coruña, A;;Mediana consumo anual;2.580
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con bajo consumo;19.077
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas de uso esporádico;54.327
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas de uso esporádico (entre 251 y 500 kwh);27.891
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas de uso esporádico (entre 501 y 750 kwh);26.436
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 751 y 1.000 kwh;27.262
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 1.001 y 2.000 kwh;112.190
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 2.001 y 3.000 kwh;95.147
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 3.001 y 4.000 kwh;64.632
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 4.001 y 5.000 kwh;41.828
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 5.001 y 6.000 kwh;27.682
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 6.001 y 7.000 kwh;18.786
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 7.001 y 8.000 kwh;13.684
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 8.001 y 9.000 kwh;10.217
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con cosumo entre 9.001 y 10.000 kwh;7.922
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas con consumo mayor de 10.000 kwh;31.043
Total Nacional;12 Galicia;27 Lugo;;Viviendas totales;269.067
Total Nacional;12 Galicia;27 Lugo;;Viviendas vacías;100.441
Total Nacional;12 Galicia;27 Lugo;;Mediana consumo anual;1.992
Total Nacional;12 Galicia;27 Lugo;;Viviendas con bajo consumo;10.841
Total Nacional;12 Galicia;27 Lugo;;Viviendas de uso esporádico;25.558
Total Nacional;12 Galicia;27 Lugo;;Viviendas de uso esporádico (entre 251 y 500 kwh);13.452
Total Nacional;12 Galicia;27 Lugo;;Viviendas de uso esporádico (entre 501 y 750 kwh);12.106
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 751 y 1.000 kwh;11.600
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 1.001 y 2.000 kwh;42.069
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 2.001 y 3.000 kwh;29.853
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 3.001 y 4.000 kwh;17.220
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 4.001 y 5.000 kwh;9.873
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 5.001 y 6.000 kwh;5.896
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.006
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.567
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.990
Total Nacional;12 Galicia;27 Lugo;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.484
Total Nacional;12 Galicia;27 Lugo;;Viviendas con consumo mayor de 10.000 kwh;5.669
Total Nacional;12 Galicia;32 Ourense;;Viviendas totales;272.883
Total Nacional;12 Galicia;32 Ourense;;Viviendas vacías;119.348
Total Nacional;12 Galicia;32 Ourense;;Mediana consumo anual;2.184
Total Nacional;12 Galicia;32 Ourense;;Viviendas con bajo consumo;9.911
Total Nacional;12 Galicia;32 Ourense;;Viviendas de uso esporádico;20.860
Total Nacional;12 Galicia;32 Ourense;;Viviendas de uso esporádico (entre 251 y 500 kwh);11.081
Total Nacional;12 Galicia;32 Ourense;;Viviendas de uso esporádico (entre 501 y 750 kwh);9.779
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 751 y 1.000 kwh;9.557
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 1.001 y 2.000 kwh;35.671
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 2.001 y 3.000 kwh;27.221
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 3.001 y 4.000 kwh;16.803
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 4.001 y 5.000 kwh;9.833
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 5.001 y 6.000 kwh;5.948
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.030
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.759
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.081
Total Nacional;12 Galicia;32 Ourense;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.657
Total Nacional;12 Galicia;32 Ourense;;Viviendas con consumo mayor de 10.000 kwh;7.204
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas totales;528.828
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas vacías;123.417
Total Nacional;12 Galicia;36 Pontevedra;;Mediana consumo anual;2.532
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con bajo consumo;14.782
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas de uso esporádico;41.418
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas de uso esporádico (entre 251 y 500 kwh);21.493
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas de uso esporádico (entre 501 y 750 kwh);19.925
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 751 y 1.000 kwh;21.036
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 1.001 y 2.000 kwh;88.600
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 2.001 y 3.000 kwh;77.811
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 3.001 y 4.000 kwh;52.503
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 4.001 y 5.000 kwh;33.541
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 5.001 y 6.000 kwh;21.458
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 6.001 y 7.000 kwh;14.031
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 7.001 y 8.000 kwh;9.756
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 8.001 y 9.000 kwh;6.983
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con cosumo entre 9.001 y 10.000 kwh;5.109
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas con consumo mayor de 10.000 kwh;18.383
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas totales;2.956.941
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas vacías;187.858
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Mediana consumo anual;2.281
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con bajo consumo;53.976
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas de uso esporádico;186.609
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas de uso esporádico (entre 251 y 500 kwh);84.014
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas de uso esporádico (entre 501 y 750 kwh);102.595
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 751 y 1.000 kwh;139.852
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 1.001 y 2.000 kwh;803.063
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 2.001 y 3.000 kwh;700.583
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 3.001 y 4.000 kwh;385.603
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 4.001 y 5.000 kwh;193.779
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 5.001 y 6.000 kwh;104.596
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 6.001 y 7.000 kwh;61.127
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 7.001 y 8.000 kwh;38.846
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 8.001 y 9.000 kwh;26.095
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con cosumo entre 9.001 y 10.000 kwh;17.923
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas con consumo mayor de 10.000 kwh;57.031
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas totales;844.100
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas vacías;103.163
Total Nacional;14 Murcia, Región de;30 Murcia;;Mediana consumo anual;2.487
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con bajo consumo;30.030
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas de uso esporádico;85.245
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas de uso esporádico (entre 251 y 500 kwh);43.636
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas de uso esporádico (entre 501 y 750 kwh);41.609
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 751 y 1.000 kwh;40.119
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 1.001 y 2.000 kwh;156.152
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 2.001 y 3.000 kwh;145.255
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 3.001 y 4.000 kwh;110.133
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 4.001 y 5.000 kwh;71.912
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 5.001 y 6.000 kwh;42.758
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 6.001 y 7.000 kwh;23.722
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 7.001 y 8.000 kwh;13.251
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 8.001 y 9.000 kwh;7.352
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con cosumo entre 9.001 y 10.000 kwh;4.375
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas con consumo mayor de 10.000 kwh;10.633
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas totales;331.104
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas vacías;32.992
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Mediana consumo anual;1.952
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con bajo consumo;12.218
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas de uso esporádico;32.351
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas de uso esporádico (entre 251 y 500 kwh);15.628
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas de uso esporádico (entre 501 y 750 kwh);16.723
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con cosumo entre 751 y 1.000 kwh;19.818
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con cosumo entre 1.001 y 2.000 kwh;95.058
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con cosumo entre 2.001 y 3.000 kwh;73.476
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con cosumo entre 3.001 y 4.000 kwh;35.754
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con cosumo entre 4.001 y 5.000 kwh;14.410
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con cosumo entre 5.001 y 6.000 kwh;6.112
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con cosumo entre 6.001 y 7.000 kwh;3.060
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.710
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.088
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con cosumo entre 9.001 y 10.000 kwh;735
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas con consumo mayor de 10.000 kwh;2.322
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas totales;168.086
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas vacías;11.072
Total Nacional;16 País Vasco;01 Araba/Álava;;Mediana consumo anual;1.693
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con bajo consumo;6.012
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas de uso esporádico;17.848
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas de uso esporádico (entre 251 y 500 kwh);7.911
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas de uso esporádico (entre 501 y 750 kwh);9.937
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con cosumo entre 751 y 1.000 kwh;13.516
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con cosumo entre 1.001 y 2.000 kwh;61.499
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con cosumo entre 2.001 y 3.000 kwh;36.032
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con cosumo entre 3.001 y 4.000 kwh;12.518
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con cosumo entre 4.001 y 5.000 kwh;4.400
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.907
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con cosumo entre 6.001 y 7.000 kwh;923
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con cosumo entre 7.001 y 8.000 kwh;604
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con cosumo entre 8.001 y 9.000 kwh;397
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con cosumo entre 9.001 y 10.000 kwh;283
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas con consumo mayor de 10.000 kwh;1.075
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas totales;350.286
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas vacías;24.762
Total Nacional;16 País Vasco;20 Gipuzkoa;;Mediana consumo anual;1.972
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con bajo consumo;10.758
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas de uso esporádico;31.313
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas de uso esporádico (entre 251 y 500 kwh);14.530
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas de uso esporádico (entre 501 y 750 kwh);16.783
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con cosumo entre 751 y 1.000 kwh;20.948
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con cosumo entre 1.001 y 2.000 kwh;108.302
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con cosumo entre 2.001 y 3.000 kwh;80.935
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con cosumo entre 3.001 y 4.000 kwh;35.919
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con cosumo entre 4.001 y 5.000 kwh;15.784
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con cosumo entre 5.001 y 6.000 kwh;8.077
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.720
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.842
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.718
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.059
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas con consumo mayor de 10.000 kwh;3.149
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas totales;556.704
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas vacías;34.118
Total Nacional;16 País Vasco;48 Bizkaia;;Mediana consumo anual;1.809
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con bajo consumo;13.388
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas de uso esporádico;55.286
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas de uso esporádico (entre 251 y 500 kwh);24.893
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas de uso esporádico (entre 501 y 750 kwh);30.393
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con cosumo entre 751 y 1.000 kwh;38.339
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con cosumo entre 1.001 y 2.000 kwh;197.699
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con cosumo entre 2.001 y 3.000 kwh;134.542
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con cosumo entre 3.001 y 4.000 kwh;51.002
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con cosumo entre 4.001 y 5.000 kwh;14.503
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con cosumo entre 5.001 y 6.000 kwh;6.722
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con cosumo entre 6.001 y 7.000 kwh;3.467
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.978
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.300
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con cosumo entre 9.001 y 10.000 kwh;934
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas con consumo mayor de 10.000 kwh;3.426
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas totales;211.333
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas vacías;25.934
Total Nacional;17 Rioja, La;26 Rioja, La;;Mediana consumo anual;1.656
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con bajo consumo;13.707
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas de uso esporádico;31.764
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas de uso esporádico (entre 251 y 500 kwh);16.758
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas de uso esporádico (entre 501 y 750 kwh);15.006
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con cosumo entre 751 y 1.000 kwh;14.412
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con cosumo entre 1.001 y 2.000 kwh;58.824
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con cosumo entre 2.001 y 3.000 kwh;38.946
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con cosumo entre 3.001 y 4.000 kwh;15.479
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con cosumo entre 4.001 y 5.000 kwh;5.566
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con cosumo entre 5.001 y 6.000 kwh;2.421
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.237
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con cosumo entre 7.001 y 8.000 kwh;737
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con cosumo entre 8.001 y 9.000 kwh;525
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con cosumo entre 9.001 y 10.000 kwh;385
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas con consumo mayor de 10.000 kwh;1.396
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas totales;28.315
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas vacías;4.089
Total Nacional;18 Ceuta;51 Ceuta;;Mediana consumo anual;2.150
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con bajo consumo;431
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas de uso esporádico;1.778
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas de uso esporádico (entre 251 y 500 kwh);720
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas de uso esporádico (entre 501 y 750 kwh);1.058
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con cosumo entre 751 y 1.000 kwh;1.331
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con cosumo entre 1.001 y 2.000 kwh;7.670
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con cosumo entre 2.001 y 3.000 kwh;6.571
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con cosumo entre 3.001 y 4.000 kwh;3.436
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.460
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con cosumo entre 5.001 y 6.000 kwh;665
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con cosumo entre 6.001 y 7.000 kwh;323
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con cosumo entre 7.001 y 8.000 kwh;176
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con cosumo entre 8.001 y 9.000 kwh;110
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con cosumo entre 9.001 y 10.000 kwh;65
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas con consumo mayor de 10.000 kwh;210
Total Nacional;19 Melilla;52 Melilla;;Viviendas totales;29.347
Total Nacional;19 Melilla;52 Melilla;;Viviendas vacías;2.963
Total Nacional;19 Melilla;52 Melilla;;Mediana consumo anual;2.435
Total Nacional;19 Melilla;52 Melilla;;Viviendas con bajo consumo;658
Total Nacional;19 Melilla;52 Melilla;;Viviendas de uso esporádico;2.126
Total Nacional;19 Melilla;52 Melilla;;Viviendas de uso esporádico (entre 251 y 500 kwh);939
Total Nacional;19 Melilla;52 Melilla;;Viviendas de uso esporádico (entre 501 y 750 kwh);1.187
Total Nacional;19 Melilla;52 Melilla;;Viviendas con cosumo entre 751 y 1.000 kwh;1.310
Total Nacional;19 Melilla;52 Melilla;;Viviendas con cosumo entre 1.001 y 2.000 kwh;6.562
Total Nacional;19 Melilla;52 Melilla;;Viviendas con cosumo entre 2.001 y 3.000 kwh;5.974
Total Nacional;19 Melilla;52 Melilla;;Viviendas con cosumo entre 3.001 y 4.000 kwh;4.138
Total Nacional;19 Melilla;52 Melilla;;Viviendas con cosumo entre 4.001 y 5.000 kwh;2.388
Total Nacional;19 Melilla;52 Melilla;;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.392
Total Nacional;19 Melilla;52 Melilla;;Viviendas con cosumo entre 6.001 y 7.000 kwh;751
Total Nacional;19 Melilla;52 Melilla;;Viviendas con cosumo entre 7.001 y 8.000 kwh;397
Total Nacional;19 Melilla;52 Melilla;;Viviendas con cosumo entre 8.001 y 9.000 kwh;213
Total Nacional;19 Melilla;52 Melilla;;Viviendas con cosumo entre 9.001 y 10.000 kwh;123
Total Nacional;19 Melilla;52 Melilla;;Viviendas con consumo mayor de 10.000 kwh;352
